Catégorie,Types,Prix /kg,Prix Unité ,Image
Légumes,OIGNONS frais en botte,,2.5,oignons
Légumes,BETTERAVES CHIOGGIA,6,,betteraves
Légumes,POIVRON,7,,poivrons
Légumes,TOMATES Grandes (500g),,3.5,tomates
Légumes,TOMATES Grandes ,6.5,,tomates
Produits laitiers,LAITSPOIR,,2,lait
Fruits,FRAISES,,7,fraises
Légumes,ASPERGES VERTES,,9,asperges
Fruits,POMMES Royal,5,,pommes
Légumes,CAROTTES ,5,,carottes
